,class_code,description,level,level_2,level_3,level_4
3,A01B,Soil working in agriculture or forestry,5,Human necessities,Agriculture,Agriculture
4,A01C,Planting,5,Human necessities,Agriculture,Agriculture
5,A01D,Harvesting,5,Human necessities,Agriculture,Agriculture
6,A01F,Processing of harvested produce,5,Human necessities,Agriculture,Agriculture
7,A01G,Horticulture,5,Human necessities,Agriculture,Agriculture
8,A01H,New plants or processes for obtaining them,5,Human necessities,Agriculture,Agriculture
9,A01J,Manufacture of dairy products ,5,Human necessities,Agriculture,Agriculture
10,A01K,Animal husbandry,5,Human necessities,Agriculture,Agriculture
11,A01L,Shoeing of animals ,5,Human necessities,Agriculture,Agriculture
12,A01M,Catching or trapping of animals ,5,Human necessities,Agriculture,Agriculture
13,A01N,Preservation of bodies of humans or animals or plants or parts thereof,5,Human necessities,Agriculture,Agriculture
16,A21B,Machines or equipment for baking ,5,Human necessities,Foodstuffs,Baking
17,A21C,Machines or equipment for making or processing doughs,5,Human necessities,Foodstuffs,Baking
18,A21D,"Treatment, e.g. preservation, of flour or dough, e.g. by addition of materials",5,Human necessities,Foodstuffs,Baking
20,A22B,Slaughtering,5,Human necessities,Foodstuffs,Butchering
21,A22C,"Processing meat, poultry, or fish ",5,Human necessities,Foodstuffs,Butchering
23,A23B,"Preserving, e.g. by canning, meat, fish, eggs, fruit, vegetables, edible seeds",5,Human necessities,Foodstuffs,Foods or foodstuffs
24,A23C,"Dairy products, e.g. milk, butter, cheese",5,Human necessities,Foodstuffs,Foods or foodstuffs
25,A23D,"Edible oils of fats, e.g. margarines, shortenings, cooking oils ",5,Human necessities,Foodstuffs,Foods or foodstuffs
26,A23F,Coffee,5,Human necessities,Foodstuffs,Foods or foodstuffs
27,A23G,Cocoa,5,Human necessities,Foodstuffs,Foods or foodstuffs
28,A23J,Protein compositions for foodstuffs,5,Human necessities,Foodstuffs,Foods or foodstuffs
29,A23K,Fodder,5,Human necessities,Foodstuffs,Foods or foodstuffs
30,A23L,"Foods, foodstuffs, or non-alcoholic beverages, not covered by subclasses ",5,Human necessities,Foodstuffs,Foods or foodstuffs
31,A23N,"Machines or apparatus for treating harvested fruit, vegetables or flower bulbs in bulk, not otherwise provided for",5,Human necessities,Foodstuffs,Foods or foodstuffs
32,A23P,"Shaping or working of foodstuffs, not fully covered by a single other subclass ",5,Human necessities,Foodstuffs,Foods or foodstuffs
33,A23V,"Indexing scheme relating to foods, foodstuffs or non-alcoholic beverages",5,Human necessities,Foodstuffs,Foods or foodstuffs
34,A23Y,Indexing scheme relating to lactic or propionic acid bacteria used in foodstuffs or food preparation,5,Human necessities,Foodstuffs,Foods or foodstuffs
36,A24B,Manufacture or preparation of tobacco for smoking or chewing,5,Human necessities,Foodstuffs,Tobacco
37,A24C,Machines for making cigars or cigarettes,5,Human necessities,Foodstuffs,Tobacco
38,A24D,Cigars,5,Human necessities,Foodstuffs,Tobacco
39,A24F,Match boxes ,5,Human necessities,Foodstuffs,Tobacco
42,A41B,Shirts,5,Human necessities,Personal or domestic articles,Wearing apparel
43,A41C,Corsets,5,Human necessities,Personal or domestic articles,Wearing apparel
44,A41D,Outerwear,5,Human necessities,Personal or domestic articles,Wearing apparel
45,A41F,Garment fastenings,5,Human necessities,Personal or domestic articles,Wearing apparel
46,A41G,Artificial flowers,5,Human necessities,Personal or domestic articles,Wearing apparel
47,A41H,"Appliances or methods for making clothes, e.g. for dress-making, for tailoring, not otherwise provided for ",5,Human necessities,Personal or domestic articles,Wearing apparel
49,A42B,Hats,5,Human necessities,Personal or domestic articles,Headwear
50,A42C,Manufacturing or trimming hats or other head coverings,5,Human necessities,Personal or domestic articles,Headwear
52,A43B,Characteristic features of footwear,5,Human necessities,Personal or domestic articles,Footwear
53,A43C,Fastenings or attachments of footwear,5,Human necessities,Personal or domestic articles,Footwear
54,A43D,"Machines, tools, equipment or methods for manufacturing or repairing footwear",5,Human necessities,Personal or domestic articles,Footwear
56,A44B,"Buttons, pins, buckles, slide fasteners, or the like ",5,Human necessities,Personal or domestic articles,Haberdashery
57,A44C,Jewellery,5,Human necessities,Personal or domestic articles,Haberdashery
58,A44D,"Indexing scheme relating to buttons, pins, buckles or slide fasteners, and to jewellery, bracelets or other personal adornments",5,Human necessities,Personal or domestic articles,Haberdashery
60,A45B,Walking sticks,5,Human necessities,Personal or domestic articles,Hand or travelling articles
61,A45C,Purses,5,Human necessities,Personal or domestic articles,Hand or travelling articles
62,A45D,Hairdressing or shaving equipment,5,Human necessities,Personal or domestic articles,Hand or travelling articles
63,A45F,Travelling or camp equipment,5,Human necessities,Personal or domestic articles,Hand or travelling articles
65,A46B,Brushes ,5,Human necessities,Personal or domestic articles,Brushware
66,A46D,Manufacture of brushes,5,Human necessities,Personal or domestic articles,Brushware
68,A47B,Tables,5,Human necessities,Personal or domestic articles,Furniture 
69,A47C,Chairs ,5,Human necessities,Personal or domestic articles,Furniture 
70,A47D,Furniture specially adapted for children ,5,Human necessities,Personal or domestic articles,Furniture 
71,A47F,"Special furniture, fittings, or accessories for shops, storehouses, bars, restaurants or the like",5,Human necessities,Personal or domestic articles,Furniture 
72,A47G,Household or table equipment ,5,Human necessities,Personal or domestic articles,Furniture 
73,A47H,Furnishings for windows or doors ,5,Human necessities,Personal or domestic articles,Furniture 
74,A47J,Kitchen equipment ,5,Human necessities,Personal or domestic articles,Furniture 
75,A47K,Sanitary equipment not otherwise provided for ,5,Human necessities,Personal or domestic articles,Furniture 
76,A47L,Domestic washing or cleaning ,5,Human necessities,Personal or domestic articles,Furniture 
79,A61B,Diagnosis,5,Human necessities,Health,Medical or veterinary science
80,A61C,Dentistry,5,Human necessities,Health,Medical or veterinary science
81,A61D,"Veterinary instruments, implements, tools, or methods",5,Human necessities,Health,Medical or veterinary science
82,A61F,Filters implantable into blood vessels,5,Human necessities,Health,Medical or veterinary science
83,A61G,Transport or accomodation for patients,5,Human necessities,Health,Medical or veterinary science
84,A61H,"Physical therapy apparatus, e.g. devices for locating or stimulating reflex points in the body",5,Human necessities,Health,Medical or veterinary science
85,A61J,Containers specially adapted for medical or pharmaceutical purposes,5,Human necessities,Health,Medical or veterinary science
86,A61K,"Preparations for medical, dental, or toilet purposes ",5,Human necessities,Health,Medical or veterinary science
87,A61L,Methods or apparatus for sterilising materials or objects in general,5,Human necessities,Health,Medical or veterinary science
88,A61M,"Devices for introducing media into, or onto, the body ",5,Human necessities,Health,Medical or veterinary science
89,A61N,Electrotherapy,5,Human necessities,Health,Medical or veterinary science
90,A61Q,Specific use of cosmetics or similar toilet preparations,5,Human necessities,Health,Medical or veterinary science
92,A62B,"Devices, apparatus or methods for life-saving ",5,Human necessities,Health,Life-saving
93,A62C,Fire-fighting ,5,Human necessities,Health,Life-saving
94,A62D,Chemical means for extinguishing fires or for combating or protecting against harmful chemical agents,5,Human necessities,Health,Life-saving
96,A63B,"Apparatus for physical training, gymnastics, swimming, climbing, or fencing",5,Human necessities,Health,Sports
97,A63C,Skates,5,Human necessities,Health,Sports
98,A63D,Bowling-alleys,5,Human necessities,Health,Sports
99,A63F,"Card, board, or roulette games",5,Human necessities,Health,Sports
100,A63G,Merry-go-rounds,5,Human necessities,Health,Sports
101,A63H,"Toys, e.g. tops, dolls, hoops, building blocks",5,Human necessities,Health,Sports
102,A63J,"Devices for theatres, circuses, or the like",5,Human necessities,Health,Sports
103,A63K,Racing,5,Human necessities,Health,Sports
107,B01B,Boiling,5,Performing operations; transporting,Separating,Physical or chemical processes or apparatus in general 
108,B01D,Separation ,5,Performing operations; transporting,Separating,Physical or chemical processes or apparatus in general 
109,B01F,"Mixing, e.g. dissolving, emulsifying, dispersing ",5,Performing operations; transporting,Separating,Physical or chemical processes or apparatus in general 
110,B01J,"Chemical or physical processes, e.g. catalysis, colloid chemistry",5,Performing operations; transporting,Separating,Physical or chemical processes or apparatus in general 
111,B01L,Chemical or physical laboratory apparatus for general use ,5,Performing operations; transporting,Separating,Physical or chemical processes or apparatus in general 
113,B02B,Preparing grain for milling,5,Performing operations; transporting,Separating,"Crushing, pulverising, or disintegrating"
114,B02C,"Crushing, pulverising, or disintegrating in general",5,Performing operations; transporting,Separating,"Crushing, pulverising, or disintegrating"
116,B03B,Separating solid materials using liquids or using pneumatic tables or jigs ,5,Performing operations; transporting,Separating,Separation of solid materials using liquids or using pneumatic tables or jigs
117,B03C,Magnetic or electrostatic separation of solid materials from solid materials or fluids,5,Performing operations; transporting,Separating,Separation of solid materials using liquids or using pneumatic tables or jigs
118,B03D,Flotation,5,Performing operations; transporting,Separating,Separation of solid materials using liquids or using pneumatic tables or jigs
120,B04B,Centrifuges ,5,Performing operations; transporting,Separating,Centrifugal apparatus or machines for carrying-out physical or chemical processes 
121,B04C,"Apparatus using free vortex flow, e.g. cyclones ",5,Performing operations; transporting,Separating,Centrifugal apparatus or machines for carrying-out physical or chemical processes 
123,B05B,Spraying apparatus,5,Performing operations; transporting,Separating,Spraying or atomising in general
124,B05C,"Apparatus for applying liquids or other fluent materials to surfaces, in general ",5,Performing operations; transporting,Separating,Spraying or atomising in general
125,B05D,"Processes for applying liquids or other fluent materials to surfaces, in general ",5,Performing operations; transporting,Separating,Spraying or atomising in general
127,B06B,"Methods or apparatus for generating or transmitting mechanical vibrations of infrasonic, sonic, or ultrasonic frequency, ",5,Performing operations; transporting,Separating,Generating or transmitting mechanical vibrations in general
129,B07B,"Seperating solids from solids by sieving, screening, or sifting or by using gas currents",5,Performing operations; transporting,Separating,Separating solids from solids
130,B07C,Postal sorting,5,Performing operations; transporting,Separating,Separating solids from solids
132,B08B,Cleaning in general,5,Performing operations; transporting,Separating,Cleaning
134,B09B,Disposal of solid waste,5,Performing operations; transporting,Separating,Disposal of solid waste
135,B09C,Reclamation of contaminated soil ,5,Performing operations; transporting,Separating,Disposal of solid waste
138,B21B,Rolling of metal ,5,Performing operations; transporting,Shaping,Mechanical metal-working without essentially removing material
139,B21C,"Manufacture of metal sheets, wire, rods, tubes or profiles, otherwise than by rolling",5,Performing operations; transporting,Shaping,Mechanical metal-working without essentially removing material
140,B21D,"Working or processing of sheet metal or metal tubes, rods or profiles without essentially removing material",5,Performing operations; transporting,Shaping,Mechanical metal-working without essentially removing material
141,B21F,Working and processing of wire ,5,Performing operations; transporting,Shaping,Mechanical metal-working without essentially removing material
142,B21G,"Making needles, pins or nails",5,Performing operations; transporting,Shaping,Mechanical metal-working without essentially removing material
143,B21H,"Making particular metal objects by rolling, e.g. screws, wheels, rings, barrels, balls ",5,Performing operations; transporting,Shaping,Mechanical metal-working without essentially removing material
144,B21J,Forging,5,Performing operations; transporting,Shaping,Mechanical metal-working without essentially removing material
145,B21K,"Making forged or pressed products, e.g. horse-shoes, rivets, bolts, wheels ",5,Performing operations; transporting,Shaping,Mechanical metal-working without essentially removing material
146,B21L,Making chains ,5,Performing operations; transporting,Shaping,Mechanical metal-working without essentially removing material
148,B22C,Foundry moulding ,5,Performing operations; transporting,Shaping,Casting
149,B22D,Casting of metals,5,Performing operations; transporting,Shaping,Casting
150,B22F,Working metallic powder,5,Performing operations; transporting,Shaping,Casting
152,B23B,Turning,5,Performing operations; transporting,Shaping,Machine tools
153,B23C,Milling ,5,Performing operations; transporting,Shaping,Machine tools
154,B23D,Planing,5,Performing operations; transporting,Shaping,Machine tools
155,B23F,Making gears or toothed racks ,5,Performing operations; transporting,Shaping,Machine tools
156,B23G,Thread cutting,5,Performing operations; transporting,Shaping,Machine tools
157,B23H,Working of metal by the action of a high concentration of electric current on a workpiece using an electrode which takes the place of a tool,5,Performing operations; transporting,Shaping,Machine tools
158,B23K,Soldering or unsoldering,5,Performing operations; transporting,Shaping,Machine tools
159,B23P,Other working of metal,5,Performing operations; transporting,Shaping,Machine tools
160,B23Q,"Details, components, or accessories for machine tools, e.g. arrangements for copying or controlling ",5,Performing operations; transporting,Shaping,Machine tools
162,B24B,"Machines, devices, or processes for grinding or polishing ",5,Performing operations; transporting,Shaping,Grinding
163,B24C,Abrasive or related blasting with particulate material,5,Performing operations; transporting,Shaping,Grinding
164,B24D,"Tools for grinding, buffing, or sharpening ",5,Performing operations; transporting,Shaping,Grinding
166,B25B,"Tools or bench devices not otherwise provided for, for fastening, connecting, disengaging or holding",5,Performing operations; transporting,Shaping,Hand tools
167,B25C,Hand-held nailing or stapling tools,5,Performing operations; transporting,Shaping,Hand tools
168,B25D,Percussive tools ,5,Performing operations; transporting,Shaping,Hand tools
169,B25F,Combination or multi-purpose tools not otherwise provided for,5,Performing operations; transporting,Shaping,Hand tools
170,B25G,Handles for hand implements ,5,Performing operations; transporting,Shaping,Hand tools
171,B25H,"Workshop equipment, e.g. for marking-out work",5,Performing operations; transporting,Shaping,Hand tools
172,B25J,Manipulators,5,Performing operations; transporting,Shaping,Hand tools
174,B26B,Hand-held cutting tools not otherwise provided for ,5,Performing operations; transporting,Shaping,Hand cutting tools
175,B26D,Cutting,5,Performing operations; transporting,Shaping,Hand cutting tools
176,B26F,Perforating,5,Performing operations; transporting,Shaping,Hand cutting tools
178,B27B,Saws,5,Performing operations; transporting,Shaping,Working or preserving wood or similar material
179,B27C,"Planing, drilling, milling, turning, or universal machines ",5,Performing operations; transporting,Shaping,Working or preserving wood or similar material
180,B27D,Working veneer or plywood ,5,Performing operations; transporting,Shaping,Working or preserving wood or similar material
181,B27F,Dovetailed work,5,Performing operations; transporting,Shaping,Working or preserving wood or similar material
182,B27G,Accessory machines or apparatus,5,Performing operations; transporting,Shaping,Working or preserving wood or similar material
183,B27H,Bending,5,Performing operations; transporting,Shaping,Working or preserving wood or similar material
184,B27J,"Mechanical working of cane, cork, or similar materials",5,Performing operations; transporting,Shaping,Working or preserving wood or similar material
185,B27K,"Processes, apparatus or selection of substances for impregnating, staining, dyeing, bleaching of wood or similar materials, or treating of wood or similar materials with permeant liquids, not otherwise provided for ",5,Performing operations; transporting,Shaping,Working or preserving wood or similar material
186,B27L,Removing bark or vestiges of branches ,5,Performing operations; transporting,Shaping,Working or preserving wood or similar material
187,B27M,Working of wood not provided for in subclasses ,5,Performing operations; transporting,Shaping,Working or preserving wood or similar material
188,B27N,"Manufacture by dry processes of articles, with or without organic binding agents, made from particles or fibres consisting of wood or other lignocellulosic or like organic material ",5,Performing operations; transporting,Shaping,Working or preserving wood or similar material
190,B28B,"Shaping clay or other ceramic compositions, slag, or mixtures containing cementitious material, e.g. plaster ",5,Performing operations; transporting,Shaping,"Working cement, clay, or stone"
191,B28C,Preparing clay,5,Performing operations; transporting,Shaping,"Working cement, clay, or stone"
192,B28D,Working stone or stone-like materials,5,Performing operations; transporting,Shaping,"Working cement, clay, or stone"
194,B29B,Preparation or pretreatment of the material to be shaped,5,Performing operations; transporting,Shaping,Working of plastics
195,B29C,Shaping or joining of plastics,5,Performing operations; transporting,Shaping,Working of plastics
196,B29D,Producing particular articles from plastics or from substances in a plastic state ,5,Performing operations; transporting,Shaping,Working of plastics
197,B29K,Indexing scheme associated with subclasses ,5,Performing operations; transporting,Shaping,Working of plastics
198,B29L,Indexing scheme associated with subclass ,5,Performing operations; transporting,Shaping,Working of plastics
200,B30B,Presses in general ,5,Performing operations; transporting,Shaping,Presses
202,B31B,"Making boxes, cartons, envelopes or bags ",5,Performing operations; transporting,Shaping,Making paper articles
203,B31C,"Making wound articles, e.g. wound tubes ",5,Performing operations; transporting,Shaping,Making paper articles
204,B31D,Making other paper articles ,5,Performing operations; transporting,Shaping,Making paper articles
205,B31F,Mechanical working or deformation of paper or cardboard ,5,Performing operations; transporting,Shaping,Making paper articles
207,B32B,"Layered products, i.e. products built-up of strata of flat or non-flat, e.g. cellular or honeycomb, form",5,Performing operations; transporting,Shaping,Layered products
209,B33Y,This subclass ,5,Performing operations; transporting,Shaping,Additive manufacturing technology
212,B41B,"Machines or accessories for making, setting, or distributing type",5,Performing operations; transporting,Printing,Printing
213,B41C,Processes for the manufacture or reproduction of printing surfaces ,5,Performing operations; transporting,Printing,Printing
214,B41D,Apparatus for the mechanical reproduction of printing surfaces for stereotype printing,5,Performing operations; transporting,Printing,Printing
215,B41F,Printing machines or presses ,5,Performing operations; transporting,Printing,Printing
216,B41G,"Apparatus for bronze printing, line printing, or for bordering or edging sheets or like articles",5,Performing operations; transporting,Printing,Printing
217,B41J,Typewriters,5,Performing operations; transporting,Printing,Printing
218,B41K,Stamps,5,Performing operations; transporting,Printing,Printing
219,B41L,"Apparatus or devices for manifolding, duplicating, or printing for office or other commercial purposes",5,Performing operations; transporting,Printing,Printing
220,B41M,"Printing, duplicating, marking, or copying processes",5,Performing operations; transporting,Printing,Printing
221,B41N,Printing plates or foils ,5,Performing operations; transporting,Printing,Printing
222,B41P,"Indexing scheme relating to printing, lining machines, typewriters, and to stamps",5,Performing operations; transporting,Printing,Printing
224,B42B,"Permanently attaching together sheets, quires or signatures or permanently attaching objects thereto ",5,Performing operations; transporting,Printing,Bookbinding
225,B42C,Bookbinding ,5,Performing operations; transporting,Printing,Bookbinding
226,B42D,Books,5,Performing operations; transporting,Printing,Bookbinding
227,B42F,Sheets temporarily attached together,5,Performing operations; transporting,Printing,Bookbinding
228,B42P,"Indexing scheme relating to books, filing appliances or the like",5,Performing operations; transporting,Printing,Bookbinding
230,B43K,Implements for writing or drawing ,5,Performing operations; transporting,Printing,Writing or drawing implements
231,B43L,Articles for writing or drawing upon; ,5,Performing operations; transporting,Printing,Writing or drawing implements
232,B43M,Bureau accessories not otherwise provided for ,5,Performing operations; transporting,Printing,Writing or drawing implements
234,B44B,"Machines, apparatus or tools for artistic work, e.g. for sculpturing, guilloching, carving, branding, inlaying ",5,Performing operations; transporting,Printing,Decorative arts
235,B44C,Producing decorative effects ,5,Performing operations; transporting,Printing,Decorative arts
236,B44D,"Painting or artistic drawing, not otherwise provided for",5,Performing operations; transporting,Printing,Decorative arts
237,B44F,Special designs or pictures,5,Performing operations; transporting,Printing,Decorative arts
240,B60B,Vehicle wheels,5,Performing operations; transporting,Transporting,Vehicles in general
241,B60C,Vehicle tyres ,5,Performing operations; transporting,Transporting,Vehicles in general
242,B60D,Vehicle connections ,5,Performing operations; transporting,Transporting,Vehicles in general
