index,class_code,description,level,level_2,level_3,level_4,level_5
3,A01B,SOIL WORKING IN AGRICULTURE OR FORESTRY,5,HUMAN NECESSITIES,Agriculture,AGRICULTURE,SOIL WORKING IN AGRICULTURE OR FORESTRY
4,A01C,PLANTING,5,HUMAN NECESSITIES,Agriculture,AGRICULTURE,PLANTING
5,A01D,HARVESTING,5,HUMAN NECESSITIES,Agriculture,AGRICULTURE,HARVESTING
6,A01F,PROCESSING OF HARVESTED PRODUCE,5,HUMAN NECESSITIES,Agriculture,AGRICULTURE,PROCESSING OF HARVESTED PRODUCE
7,A01G,HORTICULTURE,5,HUMAN NECESSITIES,Agriculture,AGRICULTURE,HORTICULTURE
8,A01H,NEW PLANTS OR PROCESSES FOR OBTAINING THEM,5,HUMAN NECESSITIES,Agriculture,AGRICULTURE,NEW PLANTS OR PROCESSES FOR OBTAINING THEM
9,A01J,MANUFACTURE OF DAIRY PRODUCTS ,5,HUMAN NECESSITIES,Agriculture,AGRICULTURE,MANUFACTURE OF DAIRY PRODUCTS 
10,A01K,ANIMAL HUSBANDRY,5,HUMAN NECESSITIES,Agriculture,AGRICULTURE,ANIMAL HUSBANDRY
11,A01L,SHOEING OF ANIMALS ,5,HUMAN NECESSITIES,Agriculture,AGRICULTURE,SHOEING OF ANIMALS 
12,A01M,CATCHING OR TRAPPING OF ANIMALS ,5,HUMAN NECESSITIES,Agriculture,AGRICULTURE,CATCHING OR TRAPPING OF ANIMALS 
13,A01N,PRESERVATION OF BODIES OF HUMANS OR ANIMALS OR PLANTS OR PARTS THEREOF,5,HUMAN NECESSITIES,Agriculture,AGRICULTURE,PRESERVATION OF BODIES OF HUMANS OR ANIMALS OR PLANTS OR PARTS THEREOF
16,A21B,MACHINES OR EQUIPMENT FOR BAKING ,5,HUMAN NECESSITIES,Foodstuffs,BAKING,MACHINES OR EQUIPMENT FOR BAKING 
17,A21C,MACHINES OR EQUIPMENT FOR MAKING OR PROCESSING DOUGHS,5,HUMAN NECESSITIES,Foodstuffs,BAKING,MACHINES OR EQUIPMENT FOR MAKING OR PROCESSING DOUGHS
18,A21D,"TREATMENT, e.g. PRESERVATION, OF FLOUR OR DOUGH, e.g. BY ADDITION OF MATERIALS",5,HUMAN NECESSITIES,Foodstuffs,BAKING,"TREATMENT, e.g. PRESERVATION, OF FLOUR OR DOUGH, e.g. BY ADDITION OF MATERIALS"
20,A22B,SLAUGHTERING,5,HUMAN NECESSITIES,Foodstuffs,BUTCHERING,SLAUGHTERING
21,A22C,"PROCESSING MEAT, POULTRY, OR FISH ",5,HUMAN NECESSITIES,Foodstuffs,BUTCHERING,"PROCESSING MEAT, POULTRY, OR FISH "
23,A23B,"PRESERVING, e.g. BY CANNING, MEAT, FISH, EGGS, FRUIT, VEGETABLES, EDIBLE SEEDS",5,HUMAN NECESSITIES,Foodstuffs,FOODS OR FOODSTUFFS,"PRESERVING, e.g. BY CANNING, MEAT, FISH, EGGS, FRUIT, VEGETABLES, EDIBLE SEEDS"
24,A23C,"DAIRY PRODUCTS, e.g. MILK, BUTTER, CHEESE",5,HUMAN NECESSITIES,Foodstuffs,FOODS OR FOODSTUFFS,"DAIRY PRODUCTS, e.g. MILK, BUTTER, CHEESE"
25,A23D,"EDIBLE OILS OF FATS, e.g. MARGARINES, SHORTENINGS, COOKING OILS ",5,HUMAN NECESSITIES,Foodstuffs,FOODS OR FOODSTUFFS,"EDIBLE OILS OF FATS, e.g. MARGARINES, SHORTENINGS, COOKING OILS "
26,A23F,COFFEE,5,HUMAN NECESSITIES,Foodstuffs,FOODS OR FOODSTUFFS,COFFEE
27,A23G,COCOA,5,HUMAN NECESSITIES,Foodstuffs,FOODS OR FOODSTUFFS,COCOA
28,A23J,PROTEIN COMPOSITIONS FOR FOODSTUFFS,5,HUMAN NECESSITIES,Foodstuffs,FOODS OR FOODSTUFFS,PROTEIN COMPOSITIONS FOR FOODSTUFFS
29,A23K,FODDER,5,HUMAN NECESSITIES,Foodstuffs,FOODS OR FOODSTUFFS,FODDER
30,A23L,"FOODS, FOODSTUFFS, OR NON-ALCOHOLIC BEVERAGES, NOT COVERED BY SUBCLASSES ",5,HUMAN NECESSITIES,Foodstuffs,FOODS OR FOODSTUFFS,"FOODS, FOODSTUFFS, OR NON-ALCOHOLIC BEVERAGES, NOT COVERED BY SUBCLASSES "
31,A23N,"MACHINES OR APPARATUS FOR TREATING HARVESTED FRUIT, VEGETABLES OR FLOWER BULBS IN BULK, NOT OTHERWISE PROVIDED FOR",5,HUMAN NECESSITIES,Foodstuffs,FOODS OR FOODSTUFFS,"MACHINES OR APPARATUS FOR TREATING HARVESTED FRUIT, VEGETABLES OR FLOWER BULBS IN BULK, NOT OTHERWISE PROVIDED FOR"
32,A23P,"SHAPING OR WORKING OF FOODSTUFFS, NOT FULLY COVERED BY A SINGLE OTHER SUBCLASS ",5,HUMAN NECESSITIES,Foodstuffs,FOODS OR FOODSTUFFS,"SHAPING OR WORKING OF FOODSTUFFS, NOT FULLY COVERED BY A SINGLE OTHER SUBCLASS "
33,A23V,"INDEXING SCHEME RELATING TO FOODS, FOODSTUFFS OR NON-ALCOHOLIC BEVERAGES",5,HUMAN NECESSITIES,Foodstuffs,FOODS OR FOODSTUFFS,"INDEXING SCHEME RELATING TO FOODS, FOODSTUFFS OR NON-ALCOHOLIC BEVERAGES"
34,A23Y,INDEXING SCHEME RELATING TO LACTIC OR PROPIONIC ACID BACTERIA USED IN FOODSTUFFS OR FOOD PREPARATION,5,HUMAN NECESSITIES,Foodstuffs,FOODS OR FOODSTUFFS,INDEXING SCHEME RELATING TO LACTIC OR PROPIONIC ACID BACTERIA USED IN FOODSTUFFS OR FOOD PREPARATION
36,A24B,MANUFACTURE OR PREPARATION OF TOBACCO FOR SMOKING OR CHEWING,5,HUMAN NECESSITIES,Foodstuffs,TOBACCO,MANUFACTURE OR PREPARATION OF TOBACCO FOR SMOKING OR CHEWING
37,A24C,MACHINES FOR MAKING CIGARS OR CIGARETTES,5,HUMAN NECESSITIES,Foodstuffs,TOBACCO,MACHINES FOR MAKING CIGARS OR CIGARETTES
38,A24D,CIGARS,5,HUMAN NECESSITIES,Foodstuffs,TOBACCO,CIGARS
39,A24F,MATCH BOXES ,5,HUMAN NECESSITIES,Foodstuffs,TOBACCO,MATCH BOXES 
42,A41B,SHIRTS,5,HUMAN NECESSITIES,Personal or domestic articles,WEARING APPAREL,SHIRTS
43,A41C,CORSETS,5,HUMAN NECESSITIES,Personal or domestic articles,WEARING APPAREL,CORSETS
44,A41D,OUTERWEAR,5,HUMAN NECESSITIES,Personal or domestic articles,WEARING APPAREL,OUTERWEAR
45,A41F,GARMENT FASTENINGS,5,HUMAN NECESSITIES,Personal or domestic articles,WEARING APPAREL,GARMENT FASTENINGS
46,A41G,ARTIFICIAL FLOWERS,5,HUMAN NECESSITIES,Personal or domestic articles,WEARING APPAREL,ARTIFICIAL FLOWERS
47,A41H,"APPLIANCES OR METHODS FOR MAKING CLOTHES, e.g. FOR DRESS-MAKING, FOR TAILORING, NOT OTHERWISE PROVIDED FOR ",5,HUMAN NECESSITIES,Personal or domestic articles,WEARING APPAREL,"APPLIANCES OR METHODS FOR MAKING CLOTHES, e.g. FOR DRESS-MAKING, FOR TAILORING, NOT OTHERWISE PROVIDED FOR "
49,A42B,HATS,5,HUMAN NECESSITIES,Personal or domestic articles,HEADWEAR,HATS
50,A42C,MANUFACTURING OR TRIMMING HATS OR OTHER HEAD COVERINGS,5,HUMAN NECESSITIES,Personal or domestic articles,HEADWEAR,MANUFACTURING OR TRIMMING HATS OR OTHER HEAD COVERINGS
52,A43B,CHARACTERISTIC FEATURES OF FOOTWEAR,5,HUMAN NECESSITIES,Personal or domestic articles,FOOTWEAR,CHARACTERISTIC FEATURES OF FOOTWEAR
53,A43C,FASTENINGS OR ATTACHMENTS OF FOOTWEAR,5,HUMAN NECESSITIES,Personal or domestic articles,FOOTWEAR,FASTENINGS OR ATTACHMENTS OF FOOTWEAR
54,A43D,"MACHINES, TOOLS, EQUIPMENT OR METHODS FOR MANUFACTURING OR REPAIRING FOOTWEAR",5,HUMAN NECESSITIES,Personal or domestic articles,FOOTWEAR,"MACHINES, TOOLS, EQUIPMENT OR METHODS FOR MANUFACTURING OR REPAIRING FOOTWEAR"
56,A44B,"BUTTONS, PINS, BUCKLES, SLIDE FASTENERS, OR THE LIKE ",5,HUMAN NECESSITIES,Personal or domestic articles,HABERDASHERY,"BUTTONS, PINS, BUCKLES, SLIDE FASTENERS, OR THE LIKE "
57,A44C,JEWELLERY,5,HUMAN NECESSITIES,Personal or domestic articles,HABERDASHERY,JEWELLERY
58,A44D,"INDEXING SCHEME RELATING TO BUTTONS, PINS, BUCKLES OR SLIDE FASTENERS, AND TO JEWELLERY, BRACELETS OR OTHER PERSONAL ADORNMENTS",5,HUMAN NECESSITIES,Personal or domestic articles,HABERDASHERY,"INDEXING SCHEME RELATING TO BUTTONS, PINS, BUCKLES OR SLIDE FASTENERS, AND TO JEWELLERY, BRACELETS OR OTHER PERSONAL ADORNMENTS"
60,A45B,WALKING STICKS,5,HUMAN NECESSITIES,Personal or domestic articles,HAND OR TRAVELLING ARTICLES,WALKING STICKS
61,A45C,PURSES,5,HUMAN NECESSITIES,Personal or domestic articles,HAND OR TRAVELLING ARTICLES,PURSES
62,A45D,HAIRDRESSING OR SHAVING EQUIPMENT,5,HUMAN NECESSITIES,Personal or domestic articles,HAND OR TRAVELLING ARTICLES,HAIRDRESSING OR SHAVING EQUIPMENT
63,A45F,TRAVELLING OR CAMP EQUIPMENT,5,HUMAN NECESSITIES,Personal or domestic articles,HAND OR TRAVELLING ARTICLES,TRAVELLING OR CAMP EQUIPMENT
65,A46B,BRUSHES ,5,HUMAN NECESSITIES,Personal or domestic articles,BRUSHWARE,BRUSHES 
66,A46D,MANUFACTURE OF BRUSHES,5,HUMAN NECESSITIES,Personal or domestic articles,BRUSHWARE,MANUFACTURE OF BRUSHES
68,A47B,TABLES,5,HUMAN NECESSITIES,Personal or domestic articles,FURNITURE ,TABLES
69,A47C,CHAIRS ,5,HUMAN NECESSITIES,Personal or domestic articles,FURNITURE ,CHAIRS 
70,A47D,FURNITURE SPECIALLY ADAPTED FOR CHILDREN ,5,HUMAN NECESSITIES,Personal or domestic articles,FURNITURE ,FURNITURE SPECIALLY ADAPTED FOR CHILDREN 
71,A47F,"SPECIAL FURNITURE, FITTINGS, OR ACCESSORIES FOR SHOPS, STOREHOUSES, BARS, RESTAURANTS OR THE LIKE",5,HUMAN NECESSITIES,Personal or domestic articles,FURNITURE ,"SPECIAL FURNITURE, FITTINGS, OR ACCESSORIES FOR SHOPS, STOREHOUSES, BARS, RESTAURANTS OR THE LIKE"
72,A47G,HOUSEHOLD OR TABLE EQUIPMENT ,5,HUMAN NECESSITIES,Personal or domestic articles,FURNITURE ,HOUSEHOLD OR TABLE EQUIPMENT 
73,A47H,FURNISHINGS FOR WINDOWS OR DOORS ,5,HUMAN NECESSITIES,Personal or domestic articles,FURNITURE ,FURNISHINGS FOR WINDOWS OR DOORS 
74,A47J,KITCHEN EQUIPMENT ,5,HUMAN NECESSITIES,Personal or domestic articles,FURNITURE ,KITCHEN EQUIPMENT 
75,A47K,SANITARY EQUIPMENT NOT OTHERWISE PROVIDED FOR ,5,HUMAN NECESSITIES,Personal or domestic articles,FURNITURE ,SANITARY EQUIPMENT NOT OTHERWISE PROVIDED FOR 
76,A47L,DOMESTIC WASHING OR CLEANING ,5,HUMAN NECESSITIES,Personal or domestic articles,FURNITURE ,DOMESTIC WASHING OR CLEANING 
79,A61B,DIAGNOSIS,5,HUMAN NECESSITIES,Health,MEDICAL OR VETERINARY SCIENCE,DIAGNOSIS
80,A61C,DENTISTRY,5,HUMAN NECESSITIES,Health,MEDICAL OR VETERINARY SCIENCE,DENTISTRY
81,A61D,"VETERINARY INSTRUMENTS, IMPLEMENTS, TOOLS, OR METHODS",5,HUMAN NECESSITIES,Health,MEDICAL OR VETERINARY SCIENCE,"VETERINARY INSTRUMENTS, IMPLEMENTS, TOOLS, OR METHODS"
82,A61F,FILTERS IMPLANTABLE INTO BLOOD VESSELS,5,HUMAN NECESSITIES,Health,MEDICAL OR VETERINARY SCIENCE,FILTERS IMPLANTABLE INTO BLOOD VESSELS
83,A61G,TRANSPORT OR ACCOMODATION FOR PATIENTS,5,HUMAN NECESSITIES,Health,MEDICAL OR VETERINARY SCIENCE,TRANSPORT OR ACCOMODATION FOR PATIENTS
84,A61H,"PHYSICAL THERAPY APPARATUS, e.g. DEVICES FOR LOCATING OR STIMULATING REFLEX POINTS IN THE BODY",5,HUMAN NECESSITIES,Health,MEDICAL OR VETERINARY SCIENCE,"PHYSICAL THERAPY APPARATUS, e.g. DEVICES FOR LOCATING OR STIMULATING REFLEX POINTS IN THE BODY"
85,A61J,CONTAINERS SPECIALLY ADAPTED FOR MEDICAL OR PHARMACEUTICAL PURPOSES,5,HUMAN NECESSITIES,Health,MEDICAL OR VETERINARY SCIENCE,CONTAINERS SPECIALLY ADAPTED FOR MEDICAL OR PHARMACEUTICAL PURPOSES
86,A61K,"PREPARATIONS FOR MEDICAL, DENTAL, OR TOILET PURPOSES ",5,HUMAN NECESSITIES,Health,MEDICAL OR VETERINARY SCIENCE,"PREPARATIONS FOR MEDICAL, DENTAL, OR TOILET PURPOSES "
87,A61L,METHODS OR APPARATUS FOR STERILISING MATERIALS OR OBJECTS IN GENERAL,5,HUMAN NECESSITIES,Health,MEDICAL OR VETERINARY SCIENCE,METHODS OR APPARATUS FOR STERILISING MATERIALS OR OBJECTS IN GENERAL
88,A61M,"DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY ",5,HUMAN NECESSITIES,Health,MEDICAL OR VETERINARY SCIENCE,"DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY "
89,A61N,ELECTROTHERAPY,5,HUMAN NECESSITIES,Health,MEDICAL OR VETERINARY SCIENCE,ELECTROTHERAPY
90,A61Q,SPECIFIC USE OF COSMETICS OR SIMILAR TOILET PREPARATIONS,5,HUMAN NECESSITIES,Health,MEDICAL OR VETERINARY SCIENCE,SPECIFIC USE OF COSMETICS OR SIMILAR TOILET PREPARATIONS
92,A62B,"DEVICES, APPARATUS OR METHODS FOR LIFE-SAVING ",5,HUMAN NECESSITIES,Health,LIFE-SAVING,"DEVICES, APPARATUS OR METHODS FOR LIFE-SAVING "
93,A62C,FIRE-FIGHTING ,5,HUMAN NECESSITIES,Health,LIFE-SAVING,FIRE-FIGHTING 
94,A62D,CHEMICAL MEANS FOR EXTINGUISHING FIRES OR FOR COMBATING OR PROTECTING AGAINST HARMFUL CHEMICAL AGENTS,5,HUMAN NECESSITIES,Health,LIFE-SAVING,CHEMICAL MEANS FOR EXTINGUISHING FIRES OR FOR COMBATING OR PROTECTING AGAINST HARMFUL CHEMICAL AGENTS
96,A63B,"APPARATUS FOR PHYSICAL TRAINING, GYMNASTICS, SWIMMING, CLIMBING, OR FENCING",5,HUMAN NECESSITIES,Health,SPORTS,"APPARATUS FOR PHYSICAL TRAINING, GYMNASTICS, SWIMMING, CLIMBING, OR FENCING"
97,A63C,SKATES,5,HUMAN NECESSITIES,Health,SPORTS,SKATES
98,A63D,BOWLING-ALLEYS,5,HUMAN NECESSITIES,Health,SPORTS,BOWLING-ALLEYS
99,A63F,"CARD, BOARD, OR ROULETTE GAMES",5,HUMAN NECESSITIES,Health,SPORTS,"CARD, BOARD, OR ROULETTE GAMES"
100,A63G,MERRY-GO-ROUNDS,5,HUMAN NECESSITIES,Health,SPORTS,MERRY-GO-ROUNDS
101,A63H,"TOYS, e.g. TOPS, DOLLS, HOOPS, BUILDING BLOCKS",5,HUMAN NECESSITIES,Health,SPORTS,"TOYS, e.g. TOPS, DOLLS, HOOPS, BUILDING BLOCKS"
102,A63J,"DEVICES FOR THEATRES, CIRCUSES, OR THE LIKE",5,HUMAN NECESSITIES,Health,SPORTS,"DEVICES FOR THEATRES, CIRCUSES, OR THE LIKE"
103,A63K,RACING,5,HUMAN NECESSITIES,Health,SPORTS,RACING
107,B01B,BOILING,5,PERFORMING OPERATIONS; TRANSPORTING,Separating,PHYSICAL OR CHEMICAL PROCESSES OR APPARATUS IN GENERAL ,BOILING
108,B01D,SEPARATION ,5,PERFORMING OPERATIONS; TRANSPORTING,Separating,PHYSICAL OR CHEMICAL PROCESSES OR APPARATUS IN GENERAL ,SEPARATION 
109,B01F,"MIXING, e.g. DISSOLVING, EMULSIFYING, DISPERSING ",5,PERFORMING OPERATIONS; TRANSPORTING,Separating,PHYSICAL OR CHEMICAL PROCESSES OR APPARATUS IN GENERAL ,"MIXING, e.g. DISSOLVING, EMULSIFYING, DISPERSING "
110,B01J,"CHEMICAL OR PHYSICAL PROCESSES, e.g. CATALYSIS, COLLOID CHEMISTRY",5,PERFORMING OPERATIONS; TRANSPORTING,Separating,PHYSICAL OR CHEMICAL PROCESSES OR APPARATUS IN GENERAL ,"CHEMICAL OR PHYSICAL PROCESSES, e.g. CATALYSIS, COLLOID CHEMISTRY"
111,B01L,CHEMICAL OR PHYSICAL LABORATORY APPARATUS FOR GENERAL USE ,5,PERFORMING OPERATIONS; TRANSPORTING,Separating,PHYSICAL OR CHEMICAL PROCESSES OR APPARATUS IN GENERAL ,CHEMICAL OR PHYSICAL LABORATORY APPARATUS FOR GENERAL USE 
113,B02B,PREPARING GRAIN FOR MILLING,5,PERFORMING OPERATIONS; TRANSPORTING,Separating,"CRUSHING, PULVERISING, OR DISINTEGRATING",PREPARING GRAIN FOR MILLING
114,B02C,"CRUSHING, PULVERISING, OR DISINTEGRATING IN GENERAL",5,PERFORMING OPERATIONS; TRANSPORTING,Separating,"CRUSHING, PULVERISING, OR DISINTEGRATING","CRUSHING, PULVERISING, OR DISINTEGRATING IN GENERAL"
116,B03B,SEPARATING SOLID MATERIALS USING LIQUIDS OR USING PNEUMATIC TABLES OR JIGS ,5,PERFORMING OPERATIONS; TRANSPORTING,Separating,SEPARATION OF SOLID MATERIALS USING LIQUIDS OR USING PNEUMATIC TABLES OR JIGS,SEPARATING SOLID MATERIALS USING LIQUIDS OR USING PNEUMATIC TABLES OR JIGS 
117,B03C,MAGNETIC OR ELECTROSTATIC SEPARATION OF SOLID MATERIALS FROM SOLID MATERIALS OR FLUIDS,5,PERFORMING OPERATIONS; TRANSPORTING,Separating,SEPARATION OF SOLID MATERIALS USING LIQUIDS OR USING PNEUMATIC TABLES OR JIGS,MAGNETIC OR ELECTROSTATIC SEPARATION OF SOLID MATERIALS FROM SOLID MATERIALS OR FLUIDS
118,B03D,FLOTATION,5,PERFORMING OPERATIONS; TRANSPORTING,Separating,SEPARATION OF SOLID MATERIALS USING LIQUIDS OR USING PNEUMATIC TABLES OR JIGS,FLOTATION
120,B04B,CENTRIFUGES ,5,PERFORMING OPERATIONS; TRANSPORTING,Separating,CENTRIFUGAL APPARATUS OR MACHINES FOR CARRYING-OUT PHYSICAL OR CHEMICAL PROCESSES ,CENTRIFUGES 
121,B04C,"APPARATUS USING FREE VORTEX FLOW, e.g. CYCLONES ",5,PERFORMING OPERATIONS; TRANSPORTING,Separating,CENTRIFUGAL APPARATUS OR MACHINES FOR CARRYING-OUT PHYSICAL OR CHEMICAL PROCESSES ,"APPARATUS USING FREE VORTEX FLOW, e.g. CYCLONES "
123,B05B,SPRAYING APPARATUS,5,PERFORMING OPERATIONS; TRANSPORTING,Separating,SPRAYING OR ATOMISING IN GENERAL,SPRAYING APPARATUS
124,B05C,"APPARATUS FOR APPLYING LIQUIDS OR OTHER FLUENT MATERIALS TO SURFACES, IN GENERAL ",5,PERFORMING OPERATIONS; TRANSPORTING,Separating,SPRAYING OR ATOMISING IN GENERAL,"APPARATUS FOR APPLYING LIQUIDS OR OTHER FLUENT MATERIALS TO SURFACES, IN GENERAL "
125,B05D,"PROCESSES FOR APPLYING LIQUIDS OR OTHER FLUENT MATERIALS TO SURFACES, IN GENERAL ",5,PERFORMING OPERATIONS; TRANSPORTING,Separating,SPRAYING OR ATOMISING IN GENERAL,"PROCESSES FOR APPLYING LIQUIDS OR OTHER FLUENT MATERIALS TO SURFACES, IN GENERAL "
127,B06B,"METHODS OR APPARATUS FOR GENERATING OR TRANSMITTING MECHANICAL VIBRATIONS OF INFRASONIC, SONIC, OR ULTRASONIC FREQUENCY, ",5,PERFORMING OPERATIONS; TRANSPORTING,Separating,GENERATING OR TRANSMITTING MECHANICAL VIBRATIONS IN GENERAL,"METHODS OR APPARATUS FOR GENERATING OR TRANSMITTING MECHANICAL VIBRATIONS OF INFRASONIC, SONIC, OR ULTRASONIC FREQUENCY, "
129,B07B,"SEPERATING SOLIDS FROM SOLIDS BY SIEVING, SCREENING, OR SIFTING OR BY USING GAS CURRENTS",5,PERFORMING OPERATIONS; TRANSPORTING,Separating,SEPARATING SOLIDS FROM SOLIDS,"SEPERATING SOLIDS FROM SOLIDS BY SIEVING, SCREENING, OR SIFTING OR BY USING GAS CURRENTS"
130,B07C,POSTAL SORTING,5,PERFORMING OPERATIONS; TRANSPORTING,Separating,SEPARATING SOLIDS FROM SOLIDS,POSTAL SORTING
132,B08B,CLEANING IN GENERAL,5,PERFORMING OPERATIONS; TRANSPORTING,Separating,CLEANING,CLEANING IN GENERAL
134,B09B,DISPOSAL OF SOLID WASTE,5,PERFORMING OPERATIONS; TRANSPORTING,Separating,DISPOSAL OF SOLID WASTE,DISPOSAL OF SOLID WASTE
135,B09C,RECLAMATION OF CONTAMINATED SOIL ,5,PERFORMING OPERATIONS; TRANSPORTING,Separating,DISPOSAL OF SOLID WASTE,RECLAMATION OF CONTAMINATED SOIL 
138,B21B,ROLLING OF METAL ,5,PERFORMING OPERATIONS; TRANSPORTING,Shaping,MECHANICAL METAL-WORKING WITHOUT ESSENTIALLY REMOVING MATERIAL,ROLLING OF METAL 
139,B21C,"MANUFACTURE OF METAL SHEETS, WIRE, RODS, TUBES OR PROFILES, OTHERWISE THAN BY ROLLING",5,PERFORMING OPERATIONS; TRANSPORTING,Shaping,MECHANICAL METAL-WORKING WITHOUT ESSENTIALLY REMOVING MATERIAL,"MANUFACTURE OF METAL SHEETS, WIRE, RODS, TUBES OR PROFILES, OTHERWISE THAN BY ROLLING"
140,B21D,"WORKING OR PROCESSING OF SHEET METAL OR METAL TUBES, RODS OR PROFILES WITHOUT ESSENTIALLY REMOVING MATERIAL",5,PERFORMING OPERATIONS; TRANSPORTING,Shaping,MECHANICAL METAL-WORKING WITHOUT ESSENTIALLY REMOVING MATERIAL,"WORKING OR PROCESSING OF SHEET METAL OR METAL TUBES, RODS OR PROFILES WITHOUT ESSENTIALLY REMOVING MATERIAL"
141,B21F,WORKING AND PROCESSING OF WIRE ,5,PERFORMING OPERATIONS; TRANSPORTING,Shaping,MECHANICAL METAL-WORKING WITHOUT ESSENTIALLY REMOVING MATERIAL,WORKING AND PROCESSING OF WIRE 
142,B21G,"MAKING NEEDLES, PINS OR NAILS",5,PERFORMING OPERATIONS; TRANSPORTING,Shaping,MECHANICAL METAL-WORKING WITHOUT ESSENTIALLY REMOVING MATERIAL,"MAKING NEEDLES, PINS OR NAILS"
143,B21H,"MAKING PARTICULAR METAL OBJECTS BY ROLLING, e.g. SCREWS, WHEELS, RINGS, BARRELS, BALLS ",5,PERFORMING OPERATIONS; TRANSPORTING,Shaping,MECHANICAL METAL-WORKING WITHOUT ESSENTIALLY REMOVING MATERIAL,"MAKING PARTICULAR METAL OBJECTS BY ROLLING, e.g. SCREWS, WHEELS, RINGS, BARRELS, BALLS "
144,B21J,FORGING,5,PERFORMING OPERATIONS; TRANSPORTING,Shaping,MECHANICAL METAL-WORKING WITHOUT ESSENTIALLY REMOVING MATERIAL,FORGING
145,B21K,"MAKING FORGED OR PRESSED PRODUCTS, e.g. HORSE-SHOES, RIVETS, BOLTS, WHEELS ",5,PERFORMING OPERATIONS; TRANSPORTING,Shaping,MECHANICAL METAL-WORKING WITHOUT ESSENTIALLY REMOVING MATERIAL,"MAKING FORGED OR PRESSED PRODUCTS, e.g. HORSE-SHOES, RIVETS, BOLTS, WHEELS "
146,B21L,MAKING CHAINS ,5,PERFORMING OPERATIONS; TRANSPORTING,Shaping,MECHANICAL METAL-WORKING WITHOUT ESSENTIALLY REMOVING MATERIAL,MAKING CHAINS 
148,B22C,FOUNDRY MOULDING ,5,PERFORMING OPERATIONS; TRANSPORTING,Shaping,CASTING,FOUNDRY MOULDING 
149,B22D,CASTING OF METALS,5,PERFORMING OPERATIONS; TRANSPORTING,Shaping,CASTING,CASTING OF METALS
150,B22F,WORKING METALLIC POWDER,5,PERFORMING OPERATIONS; TRANSPORTING,Shaping,CASTING,WORKING METALLIC POWDER
152,B23B,TURNING,5,PERFORMING OPERATIONS; TRANSPORTING,Shaping,MACHINE TOOLS,TURNING
153,B23C,MILLING ,5,PERFORMING OPERATIONS; TRANSPORTING,Shaping,MACHINE TOOLS,MILLING 
154,B23D,PLANING,5,PERFORMING OPERATIONS; TRANSPORTING,Shaping,MACHINE TOOLS,PLANING
155,B23F,MAKING GEARS OR TOOTHED RACKS ,5,PERFORMING OPERATIONS; TRANSPORTING,Shaping,MACHINE TOOLS,MAKING GEARS OR TOOTHED RACKS 
156,B23G,THREAD CUTTING,5,PERFORMING OPERATIONS; TRANSPORTING,Shaping,MACHINE TOOLS,THREAD CUTTING
157,B23H,WORKING OF METAL BY THE ACTION OF A HIGH CONCENTRATION OF ELECTRIC CURRENT ON A WORKPIECE USING AN ELECTRODE WHICH TAKES THE PLACE OF A TOOL,5,PERFORMING OPERATIONS; TRANSPORTING,Shaping,MACHINE TOOLS,WORKING OF METAL BY THE ACTION OF A HIGH CONCENTRATION OF ELECTRIC CURRENT ON A WORKPIECE USING AN ELECTRODE WHICH TAKES THE PLACE OF A TOOL
158,B23K,SOLDERING OR UNSOLDERING,5,PERFORMING OPERATIONS; TRANSPORTING,Shaping,MACHINE TOOLS,SOLDERING OR UNSOLDERING
159,B23P,OTHER WORKING OF METAL,5,PERFORMING OPERATIONS; TRANSPORTING,Shaping,MACHINE TOOLS,OTHER WORKING OF METAL
160,B23Q,"DETAILS, COMPONENTS, OR ACCESSORIES FOR MACHINE TOOLS, e.g. ARRANGEMENTS FOR COPYING OR CONTROLLING ",5,PERFORMING OPERATIONS; TRANSPORTING,Shaping,MACHINE TOOLS,"DETAILS, COMPONENTS, OR ACCESSORIES FOR MACHINE TOOLS, e.g. ARRANGEMENTS FOR COPYING OR CONTROLLING "
162,B24B,"MACHINES, DEVICES, OR PROCESSES FOR GRINDING OR POLISHING ",5,PERFORMING OPERATIONS; TRANSPORTING,Shaping,GRINDING,"MACHINES, DEVICES, OR PROCESSES FOR GRINDING OR POLISHING "
163,B24C,ABRASIVE OR RELATED BLASTING WITH PARTICULATE MATERIAL,5,PERFORMING OPERATIONS; TRANSPORTING,Shaping,GRINDING,ABRASIVE OR RELATED BLASTING WITH PARTICULATE MATERIAL
164,B24D,"TOOLS FOR GRINDING, BUFFING, OR SHARPENING ",5,PERFORMING OPERATIONS; TRANSPORTING,Shaping,GRINDING,"TOOLS FOR GRINDING, BUFFING, OR SHARPENING "
166,B25B,"TOOLS OR BENCH DEVICES NOT OTHERWISE PROVIDED FOR, FOR FASTENING, CONNECTING, DISENGAGING OR HOLDING",5,PERFORMING OPERATIONS; TRANSPORTING,Shaping,HAND TOOLS,"TOOLS OR BENCH DEVICES NOT OTHERWISE PROVIDED FOR, FOR FASTENING, CONNECTING, DISENGAGING OR HOLDING"
167,B25C,HAND-HELD NAILING OR STAPLING TOOLS,5,PERFORMING OPERATIONS; TRANSPORTING,Shaping,HAND TOOLS,HAND-HELD NAILING OR STAPLING TOOLS
